text,language,sentiment,confidence,topic_id,topic_label,region,country,language_name,date,likes
mtsww koh ubanwa ya tambaye ta ohoo,hau,neutral,0.8428897857666016,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-01-13,363
ayi sauri mudai please,hau,positive,0.6992204189300537,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-02-26,497
is left for u mutanen banza,hau,negative,0.8522958159446716,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-12,228
daga baya kenan yasanda haka ya zabga mana karya yayin neman zabe,hau,neutral,0.7563484311103821,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-23,88
subahanallahi gaskiya basu kyautaba,hau,negative,0.7166546583175659,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-08-08,119
kuma dai kai jamaa,hau,positive,0.9020506143569946,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-02-04,68
ameen amma dai yaka mata mu canja halinmu ko allah zai tausaya mana ya yaye mana wannan annobah,hau,negative,0.8449345231056213,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-03-16,213
innalillahi wa inna ilaihi rajiunallah yayimuna maganin masu wannan mugun aiki,hau,positive,0.9282110333442688,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-04-18,235
wai daman hakan ne hakuri ana kisan alumma shine shugabanci tir da irin wanga hali na ko in kulaa,hau,negative,0.8495023250579834,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-02-06,317
ni fa wannan presido din ba goyon bayanshi nake ba domin akwai danniya a tattare da shi,hau,negative,0.7119534611701965,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-05-19,456
yanzu har akwai kasar da tafi nigeria cin hanci a yammacin afirka anya kuwa ba cin hancin muka bayar ba aka maida mu na biyu maimakon na daya,hau,negative,0.6090719103813171,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-31,345
kayi irinna ibro ken dayace bazaidaina film ba sai andena fadin nepa garakaima dakafada haka,hau,negative,0.7571941614151001,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-27,120
wlh da gwamnati xata bani d saqon talakawa yje ga han nun su amman nasan inaaaa baxata bani ba im sure wadanda xata ba duk cinye du ne baxasu bamu ba,hau,negative,0.9260393381118774,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-20,382
a ina ake fafutukar mutumin da ba a san su wa su ke rike da shi ba,hau,negative,0.7378877401351929,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-24,275
da kyau wai dansanda ya ga rawar soja,hau,negative,0.6813542246818542,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-28,433
allah ya jibanci lamarin su,hau,negative,0.48993903398513794,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-06-24,396
dan uwarsu sai da lokacin mu yaxo za a soke wannan shine matsalar spill over,hau,negative,0.9035623669624329,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-02-16,340
thats the fact islamically ️ allah bamu ikon kiyayewa,hau,positive,0.8710646629333496,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-27,388
allah yajikan malam allah yakai haske kabarin malam jafar duniyya abun tsoro ce allah ka rabamu da ilimi mara amfani wani ilimin dashi kwara jahillci,hau,positive,0.5445123910903931,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-29,62
munayinki rahama happy birthday in advance,hau,positive,0.9691885709762573,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-27,399
lokacin farko da namu ya taba fadin abun da zaa iya rubutu akai,hau,neutral,0.8181383609771729,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-06-13,430
idan kuma baa mayarba fanonsense,hau,negative,0.6842592358589172,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-02-18,150
zan yanki tikitin jirgi zuwa zimbabwe domin na kwasosu,hau,neutral,0.773890495300293,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-06,150
allah sarki jiya ba yau ba,hau,negative,0.7283341288566589,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-25,143
champion ta kare maka yanzu kam,hau,neutral,0.8452757000923157,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-05-21,290
shikuma yana karya covid yana ciyomana bashi,hau,negative,0.8725221157073975,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-02,137
wakar sa ta mu gargadi mai gina ramin mugunta dr mamman shata rahimahullah,hau,positive,0.8049042224884033,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-17,190
kada yacanza yatafi ahaka yayi dai dai,hau,neutral,0.6239683032035828,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-25,130
sai a kai mata sammaci kabarinta ai,hau,neutral,0.5079525709152222,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-01-16,377
gsky dai mahmud ka bada mu aci mutuncin maza sosai fa a wannan fim din duk wani iskancin sai ka samu namiji ne,hau,negative,0.8535832166671753,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-06-08,133
wai tsakanin na da wannene na gsky,hau,negative,0.8867401480674744,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-02-22,101
iya aikinku iya shagalinku bbc,hau,negative,0.8258704543113708,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-08,224
amin dai abokin figo,hau,positive,0.4710562825202942,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-06-24,126
daman basu kamasuba kawai dai annemesune an rasa ne,hau,negative,0.7212179899215698,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-17,95
to ai shi yanada aure zaki yarda kizo a ta,hau,neutral,0.8336740732192993,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-04-20,125
yanzu na gama karanta labarin tabbas suna hannunku amma ance daya ya mutu ai a asibiti gaskia mutanen wannan unguwar kun kyauta sosai,hau,negative,0.931550145149231,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-07-18,120
abba latest nakowa crypto services address zoo road kano opposite asibitin isiyaka rabiu kano state nigeria abbalatestnakowacom,hau,negative,0.8020409345626831,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-03-22,78
innalillahi wainna ilaihi rajiun إِذ لم تستح فصنع م شعت annabisaw yake cewa idan dai har baku jin kunya toh kuyi duk abunda kuka gadama allah ka shiryemu da shiryuwa ka,hau,positive,0.6420539617538452,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-30,144
in ba a garin mashaya ba a ina tantabara take laifin duka kudai kawai kuce mana zaku yanka abin bauta kuci kwadayi ta tashi,hau,negative,0.7064347863197327,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-30,452
bana danasani following dinku yasin,hau,negative,0.6277876496315002,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-08-25,464
masha allah ko dan temaka mai akai ai ya rageita kuma ubangiji allah ya sadata da manzon tsira itama duba da bata qyamaci wnnan bawan allan ba ita tace tana san ganinsa masha allah yyi kyau anti,hau,negative,0.8837848901748657,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-04-27,296
toh meye matsalarsu da hakan,hau,neutral,0.6377384066581726,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-04-03,96
a kira mu united nation kawai,hau,negative,0.8113178610801697,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-18,167
innalillahi kai allah yaye musumuma nan allah kawo mana sauki allah ka kawo mana karshen masifa amin ya allah,hau,positive,0.938694953918457,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-03-05,33
soja burgeman hankaka,hau,neutral,0.6295855045318604,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-07-23,202
wasan gaba a watsa mai kaya kawai,hau,neutral,0.7351476550102234,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-16,128
allah ya jikanshi da rahama ga ramadan ga kuma jumaa allah ya sadashi da annabi,hau,positive,0.9245709180831909,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-06-28,125
u are always on your way up kinfi jirgin sama️success followed u back to back kamar numfashi ️,hau,positive,0.8201772570610046,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-07-19,259
wannan shegiyar mata allah efcc suyii ram dah eta,hau,negative,0.7564324140548706,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-03-04,269
gaskiya malam aminu kuna ganin mutane kala kala,hau,neutral,0.5117769837379456,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-01-21,118
abi liman ko a canza masallaci gandujen ne dai,hau,neutral,0.6621054410934448,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-28,332
a ina abin ya faru haka,hau,neutral,0.8935102224349976,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-03-18,413
ka huta sabon sarkin,hau,neutral,0.9113890528678894,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-15,51
muna tare dasu allah ya kara yarda da damu da imanimu baba daya,hau,negative,0.6696357727050781,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-07,334
ai yanxu aka fara,hau,neutral,0.6706256866455078,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-08-13,237
bari na tuna,hau,neutral,0.8439034819602966,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-03-29,18
lol baba mafa ya zama alhaji qarami ko alhaji nano ne ma oho,hau,negative,0.5541778206825256,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-07-06,52
bbc hausa me yasa kuke wa ya barcelona haka,hau,neutral,0.7037850618362427,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-25,2
allah y jikan malam ya kyautata makwanchi,hau,positive,0.9509207010269165,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-03-15,243
a ina rai ya samu,hau,neutral,0.837947428226471,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-06-05,452
sai allah yasaka musu mugu kawai,hau,negative,0.8894422054290771,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-19,419
ai kuwa wallahi yana ruwa kuma ka kara hakuri amma gaskiya d sake sbd k bada maza,hau,negative,0.8052862286567688,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-01-31,118
gsky apita daga kauye akoma birni abun yapi armashi yadda yaddaata challenge this week gsky baacewa komai yallabai,hau,negative,0.8949866890907288,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-12,430
har ma ji kamshin soyensa,hau,positive,0.49458029866218567,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-04-18,229
nlc dole su haukace,hau,negative,0.6392179131507874,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-02-12,468
wllhy allah bazai taba gafarta matava indai bataje ta cire pics din dasuka jawo batanci ga fiyyayen halinta wllhy wannan fa janabin annabi aka taba kune kuke ganinsa karamin laifi allah wllhy baya kyale wanda yataba annabi,hau,negative,0.9047384262084961,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-13,191
kuci gabada hakuri allah ya na tareda ku,hau,positive,0.7925117611885071,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-03-29,20
indai ba sambisa zaa mayar dasu ba mene na basu bindiga haba azo a gyarawa mutane titi da ko makaranta ko harkar lafiya ko ilimi da kudin da zaa sayi bindiga a basu,hau,negative,0.5189697742462158,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-08,448
but wait o wai meye yake sawa ayi kewar mutum ma,hau,negative,0.47397586703300476,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-08-27,150
wata shariar sai dai a lahira b komai idon kaima t ritsa d yan uwanka lokacin zaka ji abinda sauran talakawa suke ji a ransu,hau,negative,0.8891700506210327,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-06,119
to wata sabuwa kuma shame kace mukam da takashemu ma tamu takai,hau,neutral,0.4852712154388428,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-04-18,61
allah ya sare na gabaya ku ma yaye mana wan nan cuta baki daya dake fadin duniya amin,hau,negative,0.836655855178833,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-11,25
ta allah batakaba xama agani insha allahu nama pahimchi so kake mu dinga wuche gona da iri ga yadda annabi yayi kadinga sawa se munche,hau,negative,0.8179506063461304,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-06-21,97
allah ya kawo mana đauki,hau,positive,0.85688316822052,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-01-20,307
ko ba allah wadai ba,hau,negative,0.7249153852462769,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-15,498
ameen thumm ameen darajjar manzon rahama,hau,positive,0.890099823474884,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-05-23,423
amma akwai masu rainin sense a africa,hau,negative,0.891399085521698,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-27,298
bakiga wani fatan tsiya bane da sukemana,hau,negative,0.4824671447277069,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-07-22,99
allah ya jikansu da rahama baki daya,hau,positive,0.8305268883705139,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-08-13,476
alhamdulillah mudai dariya muke,hau,positive,0.7979255318641663,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-07-29,38
ayya hakane daman rayuwa inka gane kayi kuskure sai ka nemi tafiya gun allahyafe mana baki daya,hau,negative,0.7744079828262329,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-22,190
hhhhhh ya kusa yaci taliyar karshe,hau,neutral,0.5166987776756287,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-03-29,262
hhh corona ta shrya bayin allah fah,hau,negative,0.6512971520423889,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-06-27,443
nabi artabu da gudu na kwala masa dutse a ka,hau,neutral,0.7966479659080505,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-31,91
tabar wawa da bashi mai wayo da kunya,hau,negative,0.8559264540672302,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-06-02,229
iya kudin ka iya shagalin ka aljanna ta mai rabo ce allah qaro kudiiii,hau,negative,0.5906310081481934,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-05-08,308
wallahi tallahi ni ban raayinai amma saboda jamaa mafi yawa sun yardada cewa zai kimantawa talakkawa akan haka nizzabeshi har so amma yasani yashirya wa tambayoyi mutun miliyan agaban ubangiji wlh daya bayan daya,hau,negative,0.8943777680397034,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-29,133
shikuma zazzakyyy yaushe zaa sakeshi,hau,neutral,0.7691439986228943,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-07-24,396
ni wlh duk ba wannan ne ke damu na ba abinda ke damu na shine yanda ko wani bayan mintina ake tafiya talla idan ana nuna film din labari na mallam babu yadda zaayi a rage yawan tallan nan ne,hau,negative,0.5911873579025269,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-04-27,398
kowa ma ya nema,hau,neutral,0.8687641620635986,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-18,340
toh duniya xata nema yafiya awajenta ko kuma mahaliccin ta da ta saamasa,hau,negative,0.8662139177322388,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-08-04,484
wai kina ganin replies dinnan kuwa,hau,neutral,0.6494821310043335,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-01-24,3
kash bawa da ya gani a nigeria,hau,negative,0.49984246492385864,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-03-11,54
tab burtaniya daban nigeria dabanhaba bawannn zancen fa can dai ba nan ba,hau,negative,0.7130297422409058,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-05-02,326
kiji dadin duniya tawajena,hau,neutral,0.4574702978134155,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-06-28,305
allah ubangiji yasine mata,hau,negative,0.7154511213302612,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-06-20,363
bah wani corona talauci be da fargaba,hau,negative,0.8850166201591492,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-01-17,317
allah ka gafartamawa mal kasakamishi da alkhairi akan ayyukanshi na alkhairi,hau,positive,0.5438988208770752,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-01-16,179
kace ronaldo yayi cin allah ya tsine uwar me karya,hau,negative,0.696363627910614,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-07-07,111
lokaci ne zai tan tance,hau,neutral,0.7030505537986755,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-06-29,19
aka fada maka shirin fim din mansoor ne ko sai wata rana,hau,negative,0.8695285320281982,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-03-21,188
alhamdulillah allah ya kara tona musu asiri alfarman annabi da alqurani,hau,negative,0.4883385896682739,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-06-15,174
idan ba kinfi yrs ba hege nake kuutji fah sisters dinki ina mah lefin haba aunty,hau,negative,0.6228896975517273,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-28,72
karya yake don uwarsa,hau,negative,0.8085832595825195,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-06-24,22
sadau inasonki zan aureki,hau,neutral,0.8520231246948242,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-07-30,104
oh ni diyar bello mi ake da kudaden in an ciyo bashin su,hau,negative,0.8886569738388062,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-25,130
ina bacci zai yiwu kuwa daman,hau,neutral,0.7319087386131287,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-03-14,19
action kamar irin su dakin amarya,hau,negative,0.6865260004997253,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-07-03,306
burina shine na samu aiki kam,hau,neutral,0.8238838911056519,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-09,374
abun ai abun tambaya ne,hau,neutral,0.7665903568267822,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-08-16,333
zamu yi zaman jiran gado,hau,neutral,0.6244595646858215,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-06-21,467
gaskiya wannan hukuncin daaka yankewa maryam sanda yayi daidai domin zai zama darasi ga yan baya allah yasa mufikarfin zakatanmu amin,hau,negative,0.8892707228660583,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-03-30,104
kode pawon ayaba ne suka gani,hau,neutral,0.8063056468963623,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-01-06,417
ina shaawar fitowa dan allah,hau,positive,0.8013063669204712,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-08-29,5
a gaskiya ni banga darasi da aka dauka ba sabida babu wani canji da akayi na magance matsalolin baya da ya haddasa kashekashen da yanzu babu su kunchi takura talauci taaddanci jahilci babakere cin hanci da rashawa da duk dauin kaskanci sune agaba,hau,negative,0.8272420763969421,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-04-29,419
sabi da shanun mu sun kusa karewa,hau,negative,0.8625085353851318,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-04-01,167
hmm kuna ruwa,hau,neutral,0.8469734787940979,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-02-13,209
masha allah yayi jagora,hau,positive,0.9145997166633606,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-06-06,347
wallahi allah ya bamu tunkun shugaba mu ana nan ana kashemu baka cewa komai,hau,negative,0.8611477613449097,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-01-30,190
aikin gwamnati dole bazaiyuba ya rasa aikiba amma gamunan jimuke kamar mu sama namu takardu wuta,hau,negative,0.919848620891571,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-05-07,94
the most popular hausa man in the world i dey salute oga kawai ka fito takarar shugaban kasa kaga kai ke da arewa,hau,negative,0.7564223408699036,0,0_da_ba_allah_ya,West Africa,Nigeria,Hausa,2026-01-16,317
allah ya bata lfyda dukkakan alummar musulmi mara sa lfy,hau,positive,0.9437580108642578,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-02-25,159
ku sa mata yaji pls,hau,neutral,0.749981701374054,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-07-16,39
to allah yayi jagora ya bada ikon sauke hakkokin da suka rataya a huyan shugannin mu baki daya ameen,hau,negative,0.8532090187072754,-1,misc / outlier,West Africa,Nigeria,Hausa,2026-03-15,104
yanzu idan nayi dariya zakuce bani da imani koh allah ya kiyaye gaba,hau,negative,0.8550586104393005,4,4_wannan_allah_da_ga,West Africa,Nigeria,Hausa,2026-02-03,16
ba rabo da gwani bah,hau,negative,0.8476630449295044,3,3_bah_baa_mutum_ya,West Africa,Nigeria,Hausa,2026-07-09,407
mungudai da fadakarwa darecta,hau,negative,0.5336770415306091,1,1_da_ne_ya_na,West Africa,Nigeria,Hausa,2026-03-05,253
mulki da ilimi babu jahilci aciki allah yajikansa darahama amin,hau,negative,0.7116457223892212,2,2_allah_ya_mana_ta,West Africa,Nigeria,Hausa,2026-04-12,280
